"antm","log_f","weight","stage","age"
-0.4307829,-0.579818495,2.769459,6,50
-0.1625189,-0.994252273,3.319626,6,58
-0.1625189,-0.510825624,2.691243,7,74
-0.1625189,-1.203972804,3.282789,6,58
0.3715636,0.751416089,3.432373,6,62
0.7654678,-1.049822124,3.228826,6,50
0.7654678,0.737164066,3.473518,6,64
0.8544153,0.693147181,3.539509,6,58
1.047319,-0.776528789,3.539509,6,47
1.047319,0.223143551,3.244544,6,63
1.2669476,0.254642218,3.604138,6,65
1.2669476,-1.347073648,3.598681,6,63
1.2669476,1.613429934,3.022861,7,63
1.3480731,1.477048724,2.998229,7,67
1.3987169,1.205970807,3.442019,7,57
1.446919,1.541159072,3.061052,6,66
1.4701758,-0.415515444,3.516013,7,70
1.4929041,2.288486169,3.649359,6,66
1.5581446,-0.562118918,3.267666,6,41
1.5993876,0.182321557,3.825375,6,70
1.6389967,1.147402453,3.419365,6,59
1.6582281,2.059238834,3.501043,7,60
1.6956156,-0.544727175,3.37588,6,59
1.7137979,1.781709133,3.451574,7,63
1.7316555,0.385262401,3.6674,6,69
1.7664417,1.446918983,3.124565,6,68
1.8000583,0.512823626,3.719651,7,65
1.8164521,-0.400477567,3.865979,7,67
1.8484548,1.040276712,3.128951,7,67
1.8946169,2.409644165,3.37588,6,65
1.9242487,0.285178942,4.090169,6,65
2.008214,0.182321557,3.804438,6,65
2.008214,1.2753628,3.037354,6,71
2.0215476,0.009950331,3.267666,6,54
2.0476928,-0.010050336,3.216874,6,63
2.0856721,1.30833282,4.11985,7,64
2.1575593,1.423108334,3.657131,8,73
2.1916535,0.457424847,2.374906,7,64
2.2137539,2.660958594,4.085136,7,68
2.2772673,0.797507196,3.013081,7,56
2.2975726,0.620576488,3.141995,9,60
2.3075726,1.442201993,3.68261,7,68
2.3272777,0.58221562,3.865979,6,62
2.3749058,1.771556762,3.896909,7,61
2.5217206,1.486139696,3.409496,7,66
2.5533438,1.663926098,3.392829,7,61
2.5687881,2.727852828,3.995445,9,79
2.5687881,1.16315081,4.035125,7,68
2.5915164,1.745715531,3.498022,6,43
2.5915164,1.220829921,3.568123,6,70
2.6567569,1.091923301,3.993603,7,68
2.677591,1.660131027,4.234831,6,64
2.6844403,0.512823626,3.633631,7,64
2.6912431,2.12704052,4.121473,7,68
2.7047113,3.153590358,3.516013,7,59
2.7180005,1.266947603,4.280132,7,66
2.7880929,0.97455964,2.865054,7,47
2.7942279,0.463734016,3.764682,6,49
2.8063861,0.542324291,4.178226,7,70
2.8124102,1.061256502,3.851211,7,61
2.8419982,0.457424847,4.524502,6,73
2.8535925,1.997417706,3.719651,7,63
2.8535925,2.77570885,3.524889,9,72
2.8820035,2.034705648,3.917011,7,66
2.8820035,2.073171929,3.623007,6,64
2.8875901,1.458615023,3.836221,7,61
2.9204698,2.02287119,3.878466,7,68
2.9626924,2.198335072,4.050915,7,72
2.9626924,-0.446287103,4.408547,6,69
2.9729753,1.193922468,4.780383,7,72
3.0130809,1.864080131,3.593194,7,60
3.0373539,1.160020917,3.341093,7,77
3.0563569,1.214912744,3.825375,7,69
3.0750055,1.838961071,3.236716,9,60
3.2752562,2.999226163,3.849083,7,69
3.3375474,3.141130476,3.263849,7,68
3.3928291,2.010894999,4.433789,7,72
3.4355988,2.537657215,4.354784,7,78
3.4578927,2.648300197,3.582129,7,69
3.5130369,2.779440197,3.823192,7,63
3.5160131,1.467874348,3.070376,7,66
3.5307626,2.513656063,3.473518,7,57
3.5652984,2.613006652,3.888754,7,77
3.5709402,2.677590994,3.838376,9,65
3.5876769,1.562346305,3.709907,7,60
3.6309855,3.302849259,3.51898,7,64
3.6800909,2.024193067,3.731699,6,58
3.7123518,1.731655545,3.369018,7,62
3.9843437,2.807593831,4.718052,7,65
3.993603,1.562346305,3.69511,7,76
4.029806,3.246490992,4.101817,6,68
4.1295508,2.532902848,3.677566,7,61
4.3851468,2.830267834,3.876396,7,68
4.6844434,3.821003607,3.896909,7,44
5.1431245,2.907447359,3.396185,7,52
5.477509,2.882563575,3.77391,7,68
5.5829322,3.471966453,3.974998,7,68
